id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46577371,Summer sunsets at Oceana,13729241,Martin & Katja,,Ward 54,-33.9583,18.38099,Entire home/apt,2334,3,20,2022-03-24,1.24,13,351,15,
46578621,Lovely Apartment Rondebosch,218195689,Thonayo,,Ward 59,-33.96746,18.47048,Entire home/apt,600,1,4,2021-04-10,0.25,1,124,1,
46582374,Green Oaks Guesthouse - your home from home,376644803,Cathy,,Ward 59,-33.97795,18.46661,Entire home/apt,1250,7,6,2022-03-01,0.38,1,7,4,
46589414,Spacious one-bedroom in the heart of Sea Point.,106641297,Heinrich,,Ward 54,-33.92243,18.38218,Entire home/apt,721,1,12,2022-02-22,0.77,3,243,10,
46590141,Oceana  THE ONE,6269301,Lisa,,Ward 54,-33.95963,18.37961,Entire home/apt,1800,5,1,2022-01-15,0.41,21,300,1,
46590156,"Mountain View Room at Ocean View House, Camps Bay",164997733,Ocean View House,,Ward 54,-33.96395,18.37507,Private room,3292,1,1,2020-12-19,0.06,9,323,0,
46590221,Ocean View on the beach,37022438,Paul,,Ward 23,-33.81803,18.47502,Entire home/apt,1786,2,1,2022-01-03,0.35,4,28,1,
46591632,Huge newly refurbished family  home in Rondebosch,32189589,Joshua And Philippa,,Ward 59,-33.97034,18.47496,Entire home/apt,5995,5,2,2022-01-05,0.13,5,62,1,
46591837,Beautiful apartment with nice views,376707219,Lungelwa Laurel,,Ward 1,-33.83739,18.54026,Entire home/apt,850,2,0,,,1,361,0,
46592153,Beach Daze,55153022,Nic & Candy,,Ward 23,-33.81227,18.47148,Entire home/apt,2200,2,1,2021-10-22,0.19,8,333,1,
46592490,Brightwater Lodge - Double Room,12168773,Gerard,,Ward 74,-34.04125,18.35176,Private room,1300,1,0,,,4,357,0,
46592491,Brightwater Lodge - Double Room (Twin),12168773,Gerard,,Ward 74,-34.04106,18.35165,Private room,1300,1,1,2021-03-21,0.08,4,118,0,
46592492,Brightwater Lodge - Family Room  (3 beds),12168773,Gerard,,Ward 74,-34.04115,18.35214,Private room,1300,1,1,2021-12-31,0.34,4,345,1,
46592493,Brightwater Lodge - Apartment,12168773,Gerard,,Ward 74,-34.04155,18.35037,Private room,1500,1,1,2021-06-13,0.10,4,350,1,
46593984,Family home,376717377,Siyasanga,,Ward 107,-33.80133,18.50957,Entire home/apt,1500,5,1,2021-01-04,0.07,1,0,0,
46594014,Affordable holiday accommodations,376720357,Candy,,Ward 30,-33.91573,18.55566,Entire home/apt,341,1,14,2022-03-26,0.90,2,353,12,
46596907,Kloof Street Gem,366694158,Johannes,,Ward 77,-33.93284,18.40803,Entire home/apt,450,30,9,2022-03-11,0.61,1,244,7,
46597833,Luxurious Guest Suite with Magnificent Sea Views,376595846,Caryn,,Ward 61,-34.16132,18.42825,Entire home/apt,1300,2,16,2022-03-21,1.06,1,146,12,
46599939,Bright and beautiful apartment in prime location,22580657,Leah,,Ward 77,-33.92881,18.40539,Entire home/apt,1200,7,0,,,2,115,0,
46608540,"Chi-Chi's Beach Resort & Spa, 305 Hibernian Towers",300274706,Debi,,Ward 83,-34.11498,18.82391,Entire home/apt,950,2,27,2022-03-24,1.75,2,168,22,
46611063,"Eagles Rest - Revive Body, Soul & Spirit",232465700,Solomon,,Ward 112,-33.82713,18.66647,Private room,750,1,0,,,1,145,0,
46613422,"St. Tropez, 1 bedroom, Island Club",157590732,Stephen,,Ward 55,-33.8936,18.50647,Entire home/apt,800,2,1,2021-04-10,0.09,6,203,1,
46614237,Private  (Kosher- Optional) Room/Aprt En-Suite,32120757,Dean,,Ward 54,-33.91608,18.39393,Private room,650,2,0,,,2,332,0,
46614265,Riverside Mews,358045800,Craig,,Ward 64,-34.13009,18.43033,Private room,1929,1,0,,,7,362,0,
46615260,10min to Blaauwberg Beach & Durbanville Wine Route,365463158,Mbasa,,Ward 107,-33.80536,18.50171,Entire home/apt,1071,2,9,2022-03-24,0.58,4,334,7,
46616868,Table Mountain Sublime Views,307629119,Anthea,,Ward 115,-33.91236,18.41908,Entire home/apt,924,2,61,2022-03-24,3.92,5,232,52,
46619560,Phillas Villa,133247032,Cheryldine,,Ward 112,-33.82969,18.67243,Entire home/apt,1200,1,0,,,3,160,0,
46627582,The Island Club Apartments Majestic and Exclusive,162408733,Mario Fanuel,,Ward 55,-33.89205,18.50803,Entire home/apt,864,21,0,,,2,364,0,
46630643,"God's-Casa, Me-Casa, Su-casa with beautiful views",128323867,Diana,,Ward 70,-33.88271,18.61991,Entire home/apt,843,2,5,2021-12-26,0.36,1,301,3,
46630751,Villa Nandi - Deluxe Evita Room,376254113,Roelof,,Ward 70,-33.87979,18.60768,Private room,1500,1,1,2021-07-18,0.12,4,75,1,
46630753,Villa Nandi - Marc Lottering Room,376254113,Roelof,,Ward 70,-33.88094,18.6077,Private room,1500,1,0,,,4,75,0,
46630755,Villa Nandi - Laurika,376254113,Roelof,,Ward 70,-33.88032,18.60622,Private room,1200,1,0,,,4,75,0,
46630757,Villa Nandi - The Emo Adams Suite,376254113,Roelof,,Ward 70,-33.88049,18.60775,Entire home/apt,1700,1,5,2021-11-04,0.34,4,75,4,
46631468,Villa with Panoramic Sea Views,39494651,Martyne,,Ward 54,-33.9279,18.38511,Entire home/apt,6429,5,1,2021-04-12,0.09,4,169,1,
46632043,"Fantastic Sea Point studio, sea and mountain views",376947199,Patrick,,Ward 54,-33.91184,18.39269,Entire home/apt,950,2,12,2022-03-06,0.77,1,167,10,
46632404,Luxe Green Point Apartment | 360º Panoramic Views,376954189,Kathrin,,Ward 115,-33.91037,18.41405,Entire home/apt,4912,3,14,2022-03-14,0.87,2,263,10,
46637974,"Single Furnished Room in Upper Wynberg, Free Wifi",376989451,Kouame,,Ward 62,-34.01292,18.46126,Private room,250,60,4,2021-01-06,0.26,1,0,0,
46638501,Penthouse 2 Bedroom - Biscuit Mill- Apartment,261535066,Kim,,Ward 57,-33.92993,18.45815,Entire home/apt,1381,2,25,2022-03-07,1.57,52,259,22,
46638559,105 San Michelle Apt - on Clifton 2nd Beach,185884086,Paul,,Ward 54,-33.96204,18.3743,Entire home/apt,2604,7,1,2022-02-20,0.81,13,361,1,
46641455,Watermeyer House,63094540,Gina,,Ward 23,-33.81428,18.48342,Entire home/apt,2500,3,1,2022-01-02,0.35,7,0,1,
46650124,"Waterfront, safe a secure large apartment",26140159,Matthew,,Ward 115,-33.8998,18.41229,Entire home/apt,7000,5,0,,,1,365,0,
46650636,Stylish De Waterkant Loft,8108425,Anna & Bertus,,Ward 77,-33.91864,18.41719,Entire home/apt,1605,2,45,2022-03-07,3.01,37,310,38,
